Date,Time ,Direction,Type,Occupancy,Engine Type,
25/10/2022,10:30,  IN,Bus,94%,Combustible,
25/10/2022,"""","""",Car,3,Combustible,s
25/10/2022,"""","""",Car,1,Hybrid,
25/10/2022,"""","""",Van,1,Combustible,
25/10/2022,"""","""",Car,1,Electric,
25/10/2022,10:35,"""",Bus,97%,Combustible,
  25/10/2022,"""","""",Taxi,2,Combustible,
  25/10/2022,"""","""",Van,1,Combustible,
  25/10/2022,"""","""",Car,2,Electric,
  25/10/2022,"""","""",Car,2,Combustible,
  25/10/2022,10:40,"""",Car,1,Electric,
  25/10/2022,"""","""",Car,2,Hybrid,
  25/10/2022,"""","""",Car,1,Combustible,
  25/10/2022,"""","""",Bicycle,1,Electric,
  25/10/2022,"""","""",Bus,90%,Combustible,
  25/10/2022,10:45,"""",Van,2,Combustible,
  25/10/2022,"""","""",Bus,84%,Combustible,
  25/10/2022,"""","""",Van,1,Combustible,
  25/10/2022,"""","""",Car,3,Electric,
  25/10/2022,"""","""",Van,2,Hybrid,
  25/10/2022,10:50,"""",Car,1,Combustible,
  25/10/2022,"""","""",Car,1,Hybrid,
  25/10/2022,"""","""",Car,2,Hybrid,
  25/10/2022,"""","""",Bicycle,1,N/A,
  25/10/2022,"""","""",Van,3,Combustible,
  25/10/2022,10:55,"""",Bus,98%,Combustible,
  25/10/2022,"""","""",Bus,92%,Combustible,
  25/10/2022,"""","""",Motorbike,1,Combustible,
  25/10/2022,"""","""",Bicycle,1,Electric,
  25/10/2022,"""","""",Bus,87%,Combustible,
  25/10/2022,11:00,"""",Van,2,Combustible,
  25/10/2022,"""  ","""",Bus,85%,Combustible,
  25/10/2022,"""  ","""",Car,1,Electric,
  25/10/2022,"""  ","""",Car,1,Hybrid,
  25/10/2022,"""  ","""",Van,1,Combustible,
  25/10/2022,"""  ","""",Car,3,Combustible,
  25/10/2022,"""  ","""",Van,3,Combustible,
  25/10/2022,"""  ","""",Van,2,Combustible,
  25/10/2022,"""  ","""",Bicycle,1,N/A,
  25/10/2022,"""  ","""",Scooters,1,Electric,
  25/10/2022,"""  ","""",Lorry,3,Combustible,
  25/10/2022,"""  ","""",Car,1,Electric,
  25/10/2022,"""  ","""",Car,1,Combustible,
  25/10/2022,"""  ","""",Van,1,Combustible,
  25/10/2022,"""","""",Bicycle,1,N/A,
  25/10/2022,""" ","""",Scooters,1,Electric,
  25/10/2022,"""","""",Lorry,1,Combustible,
