DATE,TIME,TYPE,COLOUR
10-02-2020,09:32,car,purple
10-02-2020,09:32,car,blue
10-02-2020,09:32,car,white
10-02-2020,09:32,van,red
10-02-2020,09:32,car,black
10-02-2020,09:32,car,red
10-02-2020,09:32,car,black
10-02-2020,09:32,car,blue
10-02-2020,09:32,car,white
10-02-2020,09:32,car,black
10-02-2020,09:32,car,black
10-02-2020,09:32,car,white
10-02-2020,09:32,car,white
10-02-2020,09:32,car,silver
10-02-2020,09:32,car,red
10-02-2020,09:32,car,silver
10-02-2020,09:33,car,grey
10-02-2020,09:33,car,Red
10-02-2020,09:33,car,red
10-02-2020,09:33,car,blue
10-02-2020,09:33,car,black
10-02-2020,09:33,car,black
10-02-2020,09:33,car,white
10-02-2020,09:33,car,black
10-02-2020,09:33,car,red
10-02-2020,09:33,car,green
10-02-2020,09:33,car,white
10-02-2020,09:33,car,black
10-02-2020,09:33,car,blue
10-02-2020,09:33,car,white
10-02-2020,09:34,car,blue
10-02-2020,09:34,car,white
10-02-2020,09:34,car,black
10-02-2020,09:34,car,white
10-02-2020,09:34,car,blue
10-02-2020,09:34,car,grey
10-02-2020,09:34,car,white
10-02-2020,09:34,car,silver
10-02-2020,09:35,car,grey
10-02-2020,09:35,car,purple
10-02-2020,09:35,car,silver
10-02-2020,09:35,car,grey
10-02-2020,09:35,car,red
10-02-2020,09:35,car,red
10-02-2020,09:35,car,red
10-02-2020,09:35,car,white
10-02-2020,09:35,car,blue
10-02-2020,09:35,car,blue
10-02-2020,09:35,car,blue
10-02-2020,09:35,car,red
10-02-2020,09:35,car,white
10-02-2020,09:35,car,black
10-02-2020,09:35,car,white
10-02-2020,09:35,car,red
10-02-2020,09:36,car,grey
10-02-2020,09:36,car,silver
10-02-2020,09:36,car,white
10-02-2020,09:36,car,black
10-02-2020,09:36,car,blue
10-02-2020,09:36,car,red
10-02-2020,09:36,car,white
10-02-2020,09:36,car,black
10-02-2020,09:36,car,blue
10-02-2020,09:36,car,silver
10-02-2020,09:36,car,green
10-02-2020,09:36,car,blue
10-02-2020,09:36,car,black
10-02-2020,09:36,car,blue
10-02-2020,09:36,car,white
10-02-2020,09:36,car,silver
10-02-2020,09:37,car,white
10-02-2020,09:37,car,grey
10-02-2020,09:37,car,blue
10-02-2020,09:37,car,black
10-02-2020,09:37,car,blue
10-02-2020,09:37,car,blue
10-02-2020,09:37,car,silver
10-02-2020,09:38,car,blue
10-02-2020,09:38,car,black
10-02-2020,09:38,car,black
10-02-2020,09:38,car,white
10-02-2020,09:38,car,black
10-02-2020,09:38,car,blue
10-02-2020,09:38,car,black
10-02-2020,09:38,car,blue
10-02-2020,09:39,car,grey
10-02-2020,09:39,car,grey
10-02-2020,09:39,car,blue
10-02-2020,09:39,car,white
10-02-2020,09:39,car,grey
10-02-2020,09:39,car,white
10-02-2020,09:39,car,red
10-02-2020,09:39,car,white
10-02-2020,09:39,van,white
10-02-2020,09:39,car,black
10-02-2020,09:39,van,white
10-02-2020,09:39,car,blue
10-02-2020,09:39,car,red
10-02-2020,09:39,car,grey
10-02-2020,09:39,car,blue
10-02-2020,09:39,car,red
10-02-2020,09:39,car,white
10-02-2020,09:39,car,blue
10-02-2020,09:39,car,red
10-02-2020,09:39,car,silver
10-02-2020,09:40,car,white
10-02-2020,09:40,car,blue
10-02-2020,09:40,car,white
10-02-2020,09:40,car,blue
10-02-2020,09:40,car,black
10-02-2020,09:40,car,silver
10-02-2020,09:40,car,grey
10-02-2020,09:40,car,white
10-02-2020,09:40,car,black
10-02-2020,09:40,car,blue
10-02-2020,09:40,car,blue
10-02-2020,09:41,car,white
10-02-2020,09:41,car,black
10-02-2020,09:41,car,white
10-02-2020,09:41,car,silver
10-02-2020,09:41,car,black
10-02-2020,09:41,car,silver
10-02-2020,09:42,car,grey
10-02-2020,09:42,car,grey
10-02-2020,09:42,car,black
10-02-2020,09:42,car,white
10-02-2020,09:42,car,black
10-02-2020,09:42,car,white
10-02-2020,09:43,van,white
10-02-2020,09:43,car,grey
10-02-2020,09:43,car,silver
10-02-2020,09:43,car,orange
10-02-2020,09:43,car,black
10-02-2020,09:43,car,blue
10-02-2020,09:43,car,green
10-02-2020,09:43,car,silver
10-02-2020,09:43,car,pink
10-02-2020,09:44,car,grey
10-02-2020,09:44,van,white
10-02-2020,09:44,van,grey
10-02-2020,09:44,car,silver
10-02-2020,09:44,car,white
10-02-2020,09:44,car,black
10-02-2020,09:44,car,blue
10-02-2020,09:44,car,blue
10-02-2020,09:44,car,black
10-02-2020,09:45,car,white
10-02-2020,09:45,car,blue
10-02-2020,09:45,car,red
10-02-2020,09:45,car,blue
10-02-2020,09:45,car,blue
10-02-2020,09:45,car,red
10-02-2020,09:45,car,red
10-02-2020,09:45,car,silver
10-02-2020,09:45,car,black
10-02-2020,09:45,car,black
10-02-2020,09:46,van,white
10-02-2020,09:46,car,grey
10-02-2020,09:46,car,red
10-02-2020,09:46,car,red
10-02-2020,09:46,car,white
10-02-2020,09:46,car,blue
10-02-2020,09:47,car,Yellow
10-02-2020,09:47,car,white
10-02-2020,09:47,car,red
10-02-2020,09:47,van,white
10-02-2020,09:47,car,black
10-02-2020,09:47,car,black
10-02-2020,09:47,car,silver
10-02-2020,09:47,car,blue
10-02-2020,09:48,car,white
10-02-2020,09:48,car,red
10-02-2020,09:48,car,blue
10-02-2020,09:48,car,white
10-02-2020,09:48,car,silver
10-02-2020,09:48,car,grey
10-02-2020,09:49,car,blue
10-02-2020,09:49,car,grey
10-02-2020,09:49,car,white
10-02-2020,09:49,car,grey
10-02-2020,09:49,car,white
10-02-2020,09:50,car,white
10-02-2020,09:50,car,black
10-02-2020,09:50,car,grey
10-02-2020,09:50,car,black
10-02-2020,09:50,car,white
10-02-2020,09:50,car,white
10-02-2020,09:50,car,grey
10-02-2020,09:50,car,blue
10-02-2020,09:51,car,blue
10-02-2020,09:51,car,white
10-02-2020,09:51,car,red
10-02-2020,09:51,car,white
10-02-2020,09:51,car,blue
10-02-2020,09:51,car,white
10-02-2020,09:51,car,white
10-02-2020,09:52,car,grey
10-02-2020,09:52,car,green
10-02-2020,09:52,car,black
10-02-2020,09:52,van,yellow
10-02-2020,09:52,car,grey
10-02-2020,09:53,van,white
10-02-2020,09:53,car,grey
10-02-2020,09:53,car,blue
10-02-2020,09:53,car,red
10-02-2020,09:53,car,silver
10-02-2020,09:53,car,black
10-02-2020,09:53,car,blue
10-02-2020,09:54,car,white
10-02-2020,09:54,car,blue
10-02-2020,09:54,car,black
10-02-2020,09:54,car,blue
10-02-2020,09:54,car,black
10-02-2020,09:54,car,blue
10-02-2020,09:54,car,silver
10-02-2020,09:54,car,silver
10-02-2020,09:55,car,white
10-02-2020,09:55,van,white
10-02-2020,09:55,car,black
10-02-2020,09:55,car,purple
10-02-2020,09:55,van,white
